Tiempo (s),Temperatura 1 (°C),,,,,,T°
3.71,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.72,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.73,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.74,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.75,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.76,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.77,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.78,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.79,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.8,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.81,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.82,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.83,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.84,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.85,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.86,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.87,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.88,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.89,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.9,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.91,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.92,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.93,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.94,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.95,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.96,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.97,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.98,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.99,27.02,27.02,27.02,27.02,27.02,27.02,27.02
4,27.02,27.02,27.02,27.02,27.02,27.02,27.02
4.01,27.02,27.02,27.02,27.02,27.02,27.02,27.02
4.02,27.02,27.02,27.02,27.02,27.02,27.02,27.02
4.03,27.02,27.02,27.02,27.02,27.02,27.02,27.02
4.04,27.02,27.02,27.02,27.02,27.02,27.02,27.02
