"nR","V"
"195",6.58640778258556e-05,5.19039826518217e-07
"196",6.57807855001071e-05,5.21391090169201e-07
"197",6.58652281002356e-05,5.22060398372242e-07
"198",6.58866573409724e-05,5.21725744270722e-07
"199",6.58647872618115e-05,5.22056904202558e-07
"200",6.58633004035901e-05,5.23060859787563e-07
"201",6.58618456719475e-05,5.24064815372568e-07
"202",6.5850154442351e-05,5.24735875134279e-07
"203",6.59018767276402e-05,5.25403422819241e-07
"204",6.58696066849832e-05,5.25401664552789e-07
"205",6.58866935726764e-05,5.27076682127583e-07
"206",6.57965985757121e-05,5.28418826301135e-07
"207",6.58241941529235e-05,5.29422788605697e-07
"208",6.5806117873051e-05,5.31101391171067e-07
"209",6.58279354773937e-05,5.33114688263445e-07
"210",6.58539411199722e-05,5.3411688324727e-07
"211",6.58059770222649e-05,5.34786202649836e-07
"212",6.57743802897503e-05,5.3612842986657e-07
"213",6.58318028178441e-05,5.37130618118537e-07
"214",6.58398137953422e-05,5.37463480260098e-07
"215",6.58233277891376e-05,5.38132799662663e-07
"216",6.58227489039858e-05,5.3947324386734e-07
"217",6.58292947310648e-05,5.41150170008835e-07
"218",6.5902594960008e-05,5.41481208794886e-07
"219",6.59354046537778e-05,5.41479396675491e-07
"220",6.5967993360396e-05,5.41475772473085e-07
"221",6.60333904476333e-05,5.41470336260441e-07
"222",6.60003607571214e-05,5.41470336260441e-07
"223",6.60329484836924e-05,5.4146671217932e-07
"224",6.59566178857435e-05,5.42468852382211e-07
"225",6.59383402384092e-05,5.46159149169718e-07
"226",6.58944007710611e-05,5.48845583633692e-07
"227",6.58673226106571e-05,5.50859085828263e-07
"228",6.58923210789645e-05,5.5219959505363e-07
"229",6.58623578903685e-05,5.54215012667294e-07
"230",6.58976325301205e-05,5.56224899598394e-07
"231",6.590311143537e-05,5.56557708976878e-07
"232",6.59420784192983e-05,5.56886788664141e-07
"233",6.59132848737977e-05,5.57217726551676e-07
"234",6.59639444991065e-05,5.58221722455372e-07
"235",6.59691985127524e-05,5.58554518468443e-07
"236",6.60028285627274e-05,5.58550779929654e-07
"237",6.60078410768011e-05,5.58881701142194e-07
"238",6.60924861952411e-05,5.59887553964057e-07
"239",6.60681333685842e-05,5.60554999648607e-07
"240",6.60836990606102e-05,5.61558978752456e-07
"241",6.61281679723973e-05,5.62228298155021e-07
"242",6.61036604955624e-05,5.62895733772405e-07
"243",6.61234111194032e-05,5.64236256362718e-07
"244",6.60045078812623e-05,5.65576787925437e-07
"245",6.60088222990452e-05,5.65909554869131e-07
"246",6.6008601394857e-05,5.65907661004243e-07
"247",6.61162756765078e-05,5.66238529653898e-07
"248",6.61503734739773e-05,5.66234739772971e-07
"249",6.61033565806383e-05,5.67908010280574e-07
"250",6.6071602690673e-05,5.7093136106556e-07
"251",6.60638320515652e-05,5.73281661010823e-07
"252",6.5976084817574e-05,5.74954987516984e-07
"253",6.60177774208015e-05,5.75624318119449e-07
"254",6.60236581594747e-05,5.76293648721913e-07
"255",6.60943210835087e-05,5.76291720073492e-07
"256",6.61288109501021e-05,5.76285934205683e-07
"257",6.60582829949366e-05,5.76284005608897e-07
"258",6.61630787044784e-05,5.76278219895989e-07
"259",6.61274831334333e-05,5.76274362818591e-07
"260",6.61364685960591e-05,5.77278325123153e-07
"261",6.61931502540042e-05,5.79624783310019e-07
"262",6.61577931422222e-05,5.79624783310019e-07
"263",6.61927072178197e-05,5.79620903833797e-07
"264",6.62276208260547e-05,5.79617024409507e-07
"265",6.62273991948303e-05,5.79615084716835e-07
"266",6.62623122203593e-05,5.79611205370439e-07
"267",6.62623122203593e-05,5.79611205370439e-07
"268",6.61725494526824e-05,5.81619096382115e-07
"269",6.61931121492825e-05,5.84306061255087e-07
"270",6.6268934729064e-05,5.84975369458128e-07
"271",6.62711421075177e-05,5.85310023559649e-07
"272",6.63088110783523e-05,5.85642717783794e-07
"273",6.63440912391782e-05,5.85638798068396e-07
"274",6.63057365446203e-05,5.85300229903521e-07
"275",6.63050708778411e-05,5.85294353867159e-07
"276",6.63764767890129e-05,5.85294353867159e-07
"277",6.63160409876114e-05,5.86971508121892e-07
"278",6.62235944527736e-05,5.89660526879417e-07
"279",6.62983193783507e-05,5.90325883982893e-07
"280",6.62980975105331e-05,5.90323908452943e-07
"281",6.62976537793529e-05,5.90319957432711e-07
"282",6.63352374833094e-05,5.90654605934656e-07
"283",6.63725990723575e-05,5.90987276706534e-07
"284",6.63770154138584e-05,5.91991218852695e-07
"285",6.63837815950017e-05,5.9366644245217e-07
"286",6.6387884598652e-05,5.94676358184581e-07
"287",6.63171173854407e-05,5.95343669579244e-07
"288",6.63156913336077e-05,5.95005036459954e-07
"289",6.6425620689309e-05,5.953396849619e-07
"290",6.63921290672342e-05,5.96343630467738e-07
"291",6.62887529449561e-05,5.99030841721996e-07
"292",6.63266471674877e-05,6.00034804026558e-07
"293",6.63996292044964e-05,6.00032795992196e-07
"294",6.63991847907931e-05,6.00028779963791e-07
"295",6.6400515363867e-05,6.01034743556278e-07
"296",6.64010501375419e-05,6.01704047279615e-07
"297",6.64370870855796e-05,6.01698006498874e-07
"298",6.64003835071832e-05,6.01698006498874e-07
"299",6.6437499372534e-05,6.02367303502766e-07
"300",6.64012944377328e-05,6.05387243697648e-07
"301",6.63626827211394e-05,6.06727886056972e-07
"302",6.64363173324052e-05,6.07062540158492e-07
"303",6.64733481473549e-05,6.07062540158492e-07
"304",6.6436036530475e-05,6.06721794798858e-07
"305",6.65094886553778e-05,6.07054414028512e-07
"306",6.6472235887036e-05,6.0705238253001e-07
"307",6.65082303177142e-05,6.07719645809211e-07
"308",6.64682848145533e-05,6.09733651474638e-07
"309",6.63925305704476e-05,6.10404995682991e-07
"310",6.6429542967482e-05,6.10402952958145e-07
"311",6.64290983565412e-05,6.10398867549469e-07
"312",6.6540578672253e-05,6.10396824865639e-07
"313",6.64661102596194e-05,6.10396824865639e-07
"314",6.65026768175353e-05,6.10390696896177e-07
"315",6.645844817316e-05,6.13074003922067e-07
"316",6.64083114692654e-05,6.16432855001071e-07
"317",6.63643224068404e-05,6.17773538811639e-07
"318",6.64399131232138e-05,6.17775606229962e-07
"319",6.65148365549368e-05,6.17771471407154e-07
"320",6.64737256371814e-05,6.18440779610195e-07
"321",6.6506065270936e-05,6.19444741914757e-07
"322",6.64225777736132e-05,6.2078335832084e-07
"323",6.64562838000642e-05,6.21452666523881e-07
"324",6.65318783737204e-05,6.21450586814003e-07
"325",6.65674832172091e-05,6.21783158979713e-07
"326",6.65188808497537e-05,6.23460591133005e-07
