P ( kPa ),lnV,V ( m3 )
109.5610,0.646301468746598,1.81E-04
109.5000,0.646301468746598,1.81E-04
109.4390,0.647403397232755,1.82E-04
109.0120,0.65070191589142,1.82E-04
108.7680,0.651799008705793,1.82E-04
108.8290,0.651799008705793,1.82E-04
108.8290,0.651799008705793,1.82E-04
109.0120,0.651799008705793,1.82E-04
108.8900,0.651799008705793,1.82E-04
108.9510,0.651799008705793,1.82E-04
108.4020,0.656175383305592,1.83E-04
107.7300,0.661619054886768,1.84E-04
107.4250,0.663788253134313,1.85E-04
107.5470,0.663788253134313,1.85E-04
107.6690,0.663788253134313,1.85E-04
107.4860,0.664871090273145,1.85E-04
107.3640,0.666493150645014,1.85E-04
106.9980,0.668651813113051,1.86E-04
106.9370,0.669729399424222,1.86E-04
107.0590,0.669729399424222,1.86E-04
107.0590,0.6702677574453,1.86E-04
106.6930,0.672955208673105,1.86E-04
106.3260,0.676170645527079,1.87E-04
106.2650,0.676705547920148,1.87E-04
106.3880,0.676705547920148,1.87E-04
106.4490,0.676705547920148,1.87E-04
106.4490,0.676705547920148,1.87E-04
106.2650,0.678308540515605,1.87E-04
105.7770,0.682038893895511,1.88E-04
105.4720,0.683633366728668,1.88E-04
105.5330,0.684694937953627,1.89E-04
105.1670,0.687872906729973,1.89E-04
104.7400,0.69104080800653,1.90E-04
104.4950,0.692621003226048,1.90E-04
104.2510,0.694724053422827,1.90E-04
104.0070,0.697346661797264,1.91E-04
104.0070,0.697870359112191,1.91E-04
104.1290,0.697870359112191,1.91E-04
104.0680,0.698393782311789,1.91E-04
103.7630,0.70152858111716,1.92E-04
103.2140,0.705693084793401,1.93E-04
103.0300,0.707250313242007,1.93E-04
103.0300,0.708287119970447,1.93E-04
102.6640,0.710357514084756,1.93E-04
102.7860,0.711391105908038,1.94E-04
102.7860,0.711391105908038,1.94E-04
102.8470,0.711391105908038,1.94E-04
102.8470,0.711391105908038,1.94E-04
102.8470,0.711907501478512,1.94E-04
102.2980,0.716543100817466,1.95E-04
101.9320,0.720133768948195,1.95E-04
101.8710,0.720645670674244,1.95E-04
101.9320,0.720645670674244,1.95E-04
101.9930,0.720645670674244,1.95E-04
101.6880,0.722690661161972,1.96E-04
101.0770,0.727276656460575,1.97E-04
101.0770,0.727784915683715,1.97E-04
101.0770,0.727784915683715,1.97E-04
101.1380,0.728292916710642,1.97E-04
101.1990,0.728292916710642,1.97E-04
101.3210,0.728292916710642,1.97E-04
101.3820,0.728292916710642,1.97E-04
